point,depth,substrate,plantheight,plantcover,species,algae,gunk,date,notes,sdval
1,111,"stony,boulder,gravel",0,0,,3,0,20.07.2019,,
2,19,"stony,gravel",0,0,,3,0,20.07.2019,bullhead,
3,125,"stony,silt",0,0,,3,0,20.07.2019,shit curls from canada geese,
4,154,"stony,boulder,silt",0,0,,3,0,20.07.2019,shit curls from canada geese,
5,203,silt,5,4,Ecan,NA,0,20.07.2019,,
5,203,silt,5,1,Chara1,NA,0,20.07.2019,,
6,205,silt,10,20,Chara2,NA,0,20.07.2019,,
7,35,"stony,boulder",0,0,,3,0,20.07.2019,,
8,82,"stony,boulder,gravel",0,0,,3,0,20.07.2019,,
9,180,"stony,boulder,silt",2,1,Ecan,NA,0,20.07.2019,,
10,219,silt,15,15,Ecan,NA,0,20.07.2019,"not very marly, not looking very healthy",
10,219,silt,15,5,Chara2,NA,0,20.07.2019,,
11,238,silt,0,0,,NA,0,20.07.2019,,
12,239,silt,0.01,1,filalg,NA,0,20.07.2019,,
13,235,silt,0.01,1,filalg,NA,0,20.07.2019,,
14,123,"stony,boulder",0,0,,1,0,20.07.2019,,
15,NA,NA,NA,NA,NA,NA,NA,NA,replaced by new point,
16,120,"stony,gravel,silt",0,0,,3,0,20.07.2019,,
17,135,"stony,boulder",0,0,,3,0,20.07.2019,,
18,108,"stony,gravel",1,5,moss,NA,0,20.07.2019,,
18,108,"stony,gravel",1,5,filalg,NA,0,20.07.2019,,
19,136,"stony,boulder,gravel",0,0,,2,0,20.07.2019,,
20,130,"stony,boulder",0,0,,3,0,20.07.2019,,
21,157,"stony,boulder",0,0,,2,0,21.07.2019,,
22,253,silt,15,50,Ecan,NA,0,21.07.2019,,
23,261,silt,15,29,Ecan,NA,0,21.07.2019,,
23,261,silt,15,1,nflex,NA,0,21.07.2019,,
24,269,silt,15,25,Ecan,NA,0,21.07.2019,,
25,275,silt,,1,filalg,NA,0,20.07.2019,,
26,280,silt,0,0,,NA,0,21.07.2019,,
27,271,silt,0,0,,NA,0,19.07.2019,,
28,20,"stony,boulder",0,0,,3,0,20.07.2019,so shit canâ€™t see substrate,
29,137,"stony,silt",0,0,,3,0,20.07.2019,everything full of dead pea mussels,
30,172,"silt,gravel",5,40,Ecan,NA,0,20.07.2019,laying on the bottom,
31,194,silt,0,0,,NA,0,20.07.2019,,
32,207,silt,0,0,,NA,0,21.07.2019,dead fontinalist,
33,166,"stony,silt",0,0,,2,0,21.07.2019,,
34,166,"stony,boulder",0,0,,2,0,21.07.2019,palmella present,
35,244,silt,30,75,Ecan,NA,0,21.07.2019,,
36,258,silt,30,25,Ecan,NA,0,21.07.2019,not healthy looking,
36,258,silt,30,13,cglob,NA,0,21.07.2019,not healthy looking,
36,258,silt,30,2,Uvul,NA,0,21.07.2019,,
37,266,silt,10,5,Ecan,NA,0,21.07.2019,,
38,310,silt,1,0.5,filalg,NA,0,21.07.2019,,
39,330,silt,15,10,Ecan,NA,0,21.07.2019,,
40,339,silt,0,0,,NA,0,20.07.2019,,
41,315,silt,0,0,,NA,0,20.07.2019,,
42,312,silt,0,0,,NA,0,19.07.2019,,
43,316,silt,0,0,,NA,0,19.07.2019,,
44,91,"stony,boulder,gravel",0,0,,2,0,19.07.2019,,
45,28,"stony,gravel,silt",0,0,,3,0,20.07.2019,bullhead,
46,76,"stony,silt",0,0,,3,0,20.07.2019,,
47,162,silt,0,0,,NA,0,20.07.2019,,
48,185,silt,15,29,Ecan,NA,0,20.07.2019,,
48,185,silt,15,10,Uvul,NA,0,20.07.2019,,
48,185,silt,0,1,cladophoraball,NA,0,20.07.2019,dead/sickly,
49,189,silt,30,100,nflex,NA,0,20.07.2019,,
50,190,"stony,silt",0,0,,2,0,20.07.2019,,
51,226,silt,0,0,,NA,0,21.07.2019,,
52,241,silt,10,4,Ecan,NA,0,21.07.2019,,
52,241,silt,2,1,chara4,NA,0,21.07.2019,"uncertain, potted",
53,254,silt,20,10,Ecan,NA,0,21.07.2019,,
53,254,silt,80,60,potcrisp,NA,0,21.07.2019,,
53,254,silt,5,10,chara4,NA,0,21.07.2019,"uncertain, potted",
54,264,silt,35,95,cglob,NA,0,21.07.2019,,
54,264,silt,35,5,Uvul,NA,0,21.07.2019,,
55,273,silt,45,50,Ecan,NA,0,21.07.2019,,
55,273,silt,45,10,Uvul,NA,0,21.07.2019,,
55,273,silt,45,40,cglob,NA,0,21.07.2019,,
56,312,silt,0,0,,NA,0,21.07.2019,palmella present,
57,329,silt,0,0,,NA,0,21.07.2019,,
58,351,silt,0,0,,NA,0,21.07.2019,,
59,337,silt,0,0,,NA,0,20.07.2019,,
60,315,silt,1,0.5,filalg,NA,0,21.07.2019,,
60,315,silt,1,0.5,Chara1,NA,0,21.07.2019,,
61,324,silt,0,0,,NA,0,19.07.2019,,
62,334,silt,0,0,,NA,0,19.07.2019,,
63,301,silt,0,0,,1,0,19.07.2019,,
64,102,"stony,boulder",5,10,Caspera,3,0,20.07.2019,,
65,177,silt,10,20,Uvul,NA,0,20.07.2019,,
65,177,silt,10,20,Ecan,NA,0,20.07.2019,,
65,177,silt,10,10,nflex,NA,0,20.07.2019,,
66,200,silt,30,100,nflex,NA,0,20.07.2019,,
67,222,silt,30,100,nflex,NA,0,20.07.2019,,
68,228,silt,20,20,Ecan,NA,0,21.07.2019,,
68,228,silt,20,20,cglob,NA,0,21.07.2019,,
69,138,silt,20,15,Ecan,NA,0,21.07.2019,,
70,244,silt,25,25,Ecan,NA,0,21.07.2019,,
71,253,silt,0,0,,NA,0,21.07.2019,,
72,264,silt,30,10,Uvul,NA,0,21.07.2019,,
72,264,silt,30,15,Ecan,NA,0,21.07.2019,,
72,264,silt,30,1,filalg,NA,0,21.07.2019,,
72,264,silt,30,14,cglob,NA,0,21.07.2019,,
73,311,silt,25,78,Ecan,NA,0,21.07.2019,,
73,311,silt,25,2,chara2,NA,0,21.07.2019,,
74,338,silt,10,8,Ecan,NA,0,21.07.2019,,
74,338,silt,10,2,Uvul,NA,0,21.07.2019,,
75,362,silt,0,0,,NA,0,21.07.2019,,
76,360,silt,1,0.5,Chara1,NA,0,21.07.2019,,
77,339,silt,0,0,,NA,0,21.07.2019,,
78,325,silt,1,0.25,filalg,NA,0,21.07.2019,,
79,333,silt,2,1,Chara1,NA,0,19.07.2019,,
80,341,silt,5,1,Chara1,NA,0,19.07.2019,,
81,327,silt,0,0,,NA,0,19.07.2019,,
82,108,"stony,boulder,gravel",0,0,,2,0,19.07.2019,,
83,178,"silt,peat",0,0,,NA,0,20.07.2019,lots of dead lymnaea,
84,206,silt,25,20,Ecan,NA,0,20.07.2019,,
84,206,silt,25,20,Uvul,NA,0,20.07.2019,,
85,229,silt,25,25,Ecan,NA,0,20.07.2019,palmella present,
86,232,silt,0,0,,NA,0,21.07.2019,,
87,240,silt,0,0,,NA,0,21.07.2019,,
88,241,silt,0,0,,NA,0,21.07.2019,,
89,249,silt,0,0,,NA,0,21.07.2019,,
90,260,silt,0,0,,NA,0,21.07.2019,,
91,295,silt,0,0,,NA,0,21.07.2019,,
92,329,silt,0,0,,NA,0,21.07.2019,,
93,349,silt,0,0,,NA,0,21.07.2019,,
94,358,silt,0,0,,NA,0,21.07.2019,,
95,365,silt,2,0.5,filalg,NA,0,21.07.2019,,
96,340,silt,2,0.5,filalg,NA,0,21.07.2019,,
97,340,silt,2,1,Chara1,NA,0,19.07.2019,,
98,348,silt,0,0,,NA,0,19.07.2019,,
99,330,silt,0,0,,NA,0,19.07.2019,,
100,109,stony,0,0,,1,0,19.07.2019,,
101,193,"silt,peat",0,0,,NA,0,20.07.2019,lots of dead lymnaea,
102,215,silt,30,100,nflex,NA,0,20.07.2019,,
103,227,silt,15,40,Ecan,NA,0,21.07.2019,not healthy looking,
104,235,silt,25,9.5,Ecan,NA,0,21.07.2019,,
104,235,silt,0,0.5,cladophoraball,NA,0,21.07.2019,clado dying?,
105,240,silt,0,0,,NA,0,21.07.2019,,
106,241,silt,0,0,,NA,0,21.07.2019,,
107,261,silt,0,0,,NA,0,21.07.2019,,
108,277,silt,0,0,,NA,0,21.07.2019,,
109,284,silt,0,0,,NA,0,21.07.2019,,
110,308,silt,0,0,,NA,0,21.07.2019,,
111,305,silt,0,0,,NA,0,21.07.2019,,
112,318,silt,0,0,,NA,0,21.07.2019,,
113,320,silt,0,0,,NA,0,21.07.2019,,
114,325,silt,2,1,Chara1,NA,0,19.07.2019,,
115,336,silt,0,0,,NA,0,19.07.2019,,
116,330,silt,0,0,,NA,0,19.07.2019,,
117,135,"stony,boulder",0,0,,2,0,19.07.2019,,
118,NA,NA,NA,NA,NA,NA,0,19.07.2019,,
119,162,"silt,peat",0,0,,NA,0,20.07.2019,lots of dead snails,
120,190,silt,30,100,nflex,NA,0,20.07.2019,,
121,208,silt,30,95,nflex,NA,0,21.07.2019,slightly anemic,
121,208,silt,30,5,Ecan,NA,0,21.07.2019,,
122,228,silt,15,20,Ecan,NA,0,21.07.2019,palmella present,
123,231,silt,0,0,,NA,0,21.07.2019,,
124,239,silt,0,0,,NA,0,21.07.2019,,
125,250,silt,0,0,,NA,0,21.07.2019,,
126,269,silt,0,0,,NA,0,21.07.2019,,
127,281,silt,15,60,Ecan,NA,0,21.07.2019,not healthy looking,
128,281,silt,15,70,Ecan,NA,0,21.07.2019,not healthy looking,
129,297,silt,20,50,Ecan,NA,0,21.07.2019,slightly healthier,
130,300,silt,20,30,Ecan,NA,0,21.07.2019,,
131,310,silt,2,1,Chara1,NA,0,21.07.2019,,
132,313,silt,2,1,Chara1,NA,0,19.07.2019,,
133,320,silt,5,1,Chara1,NA,0,19.07.2019,,
134,342,silt,230,30,Potluc,NA,0,19.07.2019,,
134,342,silt,10,5,Uvul,NA,0,19.07.2019,,
135,332,silt,220,30,Potluc,NA,0,19.07.2019,,
136,221,"stony,boulder",0,0,,1,0,19.07.2019,,
137,NA,NA,NA,NA,NA,NA,NA,19.07.2019,too close to bank; stony,
138,NA,NA,NA,NA,NA,NA,NA,NA,replaced by new point,
139,58,"stony,boulder",0,0,,3,0,20.07.2019,,
140,155,silt,30,100,nflex,NA,0,20.07.2019,,
141,175,silt,30,100,nflex,NA,0,20.07.2019,,
142,200,silt,30,100,nflex,NA,0,20.07.2019,,
143,213,silt,15,60,ecan,NA,0,21.07.2019,not healthy looking; strawlike,
144,227,silt,50,95,cglob,NA,0,21.07.2019,no marling on cglob at any sample point,
144,227,silt,50,5,ecan,NA,0,21.07.2019,,
145,230,silt,40,99,cglob,NA,0,21.07.2019,cglob potted,
145,230,silt,40,1,ecan,NA,0,21.07.2019,,
146,250,silt,15,90,Ecan,NA,0,21.07.2019,"looking unhealthy, strawlike",
146,250,silt,15,10,Uvul,NA,0,21.07.2019,,
147,285,silt,15,15,Ecan,NA,0,21.07.2019,,
147,285,silt,15,9,Uvul,NA,0,21.07.2019,,
147,285,silt,15,1,Chara2,NA,0,21.07.2019,,
148,299,silt,0,0,,NA,0,21.07.2019,,
149,282,silt,10,18,Ecan,NA,0,21.07.2019,palmella present,
149,282,silt,10,2,Uvul,NA,0,21.07.2019,palmella present,
150,299,silt,1,0.5,filalg,NA,0,21.07.2019,,
151,321,silt,0,0,,NA,0,21.07.2019,,
152,351,silt,0,0,,NA,0,21.07.2019,"secchi visible at bottom; pluc right next to sample point to south, 20x10m sausage",
153,383,silt,0,0,,NA,0,19.07.2019,,
154,385,silt,0,0,,NA,0,19.07.2019,,
155,321,silt,150,5,Potluc,NA,0,19.07.2019,,
156,319,silt,0,0,,NA,0,19.07.2019,,
157,315,silt,210,39,Potluc,NA,0,19.07.2019,,
157,315,silt,0,1,sponge1,NA,0,19.07.2019,,
158,140,"stony,boulder",0,0,,2,0,19.07.2019,,
159,31,"stony,boulder",0,0,,3,0,19.07.2019,,
160,143,"silt,peat",4,10,font,NA,0,20.07.2019,full of dead snails,
160,143,"silt,peat",4,15,Uvul,NA,0,20.07.2019,full of dead snails,
161,155,silt,30,100,nflex,NA,0,20.07.2019,bullhead caught in nitella haul,
162,185,silt,30,100,nflex,NA,0,20.07.2019,,
163,184,silt,25,100,nflex,NA,0,21.07.2019,not healthy looking,
164,215,silt,30,99,nflex,NA,0,21.07.2019,pluc 20m east of point,
164,215,silt,5,1,Ecan,NA,0,21.07.2019,pluc 20m east of point,
165,241,silt,15,10,Ecan,NA,0,21.07.2019,,
165,241,silt,160,30,Potluc,NA,0,21.07.2019,,
166,255,silt,10,15,Ecan,NA,0,21.07.2019,not healthy looking,
167,277,silt,,0,,NA,0,21.07.2019,,
168,235,silt,15,40,Chara2,NA,0,21.07.2019,bullhead in chara,
169,279,silt,0,0,,NA,0,21.07.2019,,
170,298,silt,0,0,,NA,0,21.07.2019,,
171,346,silt,0,0,,NA,0,21.07.2019,,
172,359,silt,0,0,,NA,0,19.07.2019,,
173,340,silt,0,0,,NA,0,19.07.2019,,
174,320,silt,5,1,Chara1,NA,0,19.07.2019,,
175,307,silt,220,39,,NA,0,19.07.2019,,
175,307,silt,5,1,Uvul,NA,0,19.07.2019,,
176,299,silt,5,1,Uvul,NA,0,19.07.2019,,
176,299,silt,5,4,Chara1,NA,0,19.07.2019,,
177,216,silt,5,2,Chara1,NA,0,19.07.2019,,
178,110,stony,0,0,,3,0,19.07.2019,,
179,58,"silt,peat",0,0,,NA,1,20.07.2019,lots of dead snails,
180,68,"silt,peat",0,0,,NA,1,20.07.2019,,
181,130,silt,20,100,nflex,NA,1,20.07.2019,,
182,142,silt,5,20,nflex,NA,1,20.07.2019,,
183,156,silt,5,59,nflex,NA,1,20.07.2019,quite encrusted unlike in other main area,
183,156,silt,5,1,Ecan,NA,1,20.07.2019,,
184,166,silt,30,100,nflex,NA,0,20.07.2019,,
185,190,silt,30,100,nflex,NA,0,20.07.2019,,
186,190,silt,15,30,Ecan,NA,0,20.07.2019,,
187,168,silt,15,20,Chara2,NA,0,21.07.2019,,
188,95,"stony,boulder",0,0,,3,0,21.07.2019,loads of dead snails probs due to wind,
189,229,silt,25,75,Chara2,NA,0,21.07.2019,,
190,268,silt,2,1,Chara1,NA,0,19.07.2019,,
191,265,silt,0,0,,NA,0,19.07.2019,,
192,277,silt,15,5,Ecan,NA,0,19.07.2019,,
192,277,silt,5,35,Chara2,NA,0,19.07.2019,,
193,276,silt,5,2,Chara1,NA,0,19.07.2019,,
194,105,"boulder,stone",0,0,,2,0,19.07.2019,,
195,NA,NA,NA,NA,NA,NA,NA,20.07.2019,"shallow inaccessible peat stuff, replaced with extra inflow point",
196,68,"silt,peat",2,5,Uvul,NA,1,20.07.2019,,
196,68,"silt,peat",2,15,filalg,NA,1,20.07.2019,,
196,68,"silt,peat",2,5,Caspera,NA,1,20.07.2019,,
197,78,"silt,peat",5,5,font,NA,1,20.07.2019,,
197,78,"silt,peat",5,5,Chara3,NA,1,20.07.2019,,
198,76,silt,0,0,,NA,1,20.07.2019,,
199,88,"silt,gravel",5,4,Chara2,NA,1,20.07.2019,dead white clawed crayfish; perch shoal,
199,88,"silt,gravel",5,1,nflex,NA,1,20.07.2019,dead white clawed crayfish; perch shoal,
200,114,silt,5,8,Chara2,NA,1,20.07.2019,lots of dead snails; shoal of perch,
200,114,silt,5,2,font,NA,1,20.07.2019,lots of dead snails; shoal of perch,
201,40,"stony,boulder,silt",0,0,,3,0,19.07.2019,replacement of 138,SD8980466884
202,NA,NA,NA,NA,Potluc,NA,0,19.07.2019,,SD8968067084
203,NA,NA,NA,NA,Potluc,NA,0,19.07.2019,,SD8960167093
204,NA,NA,NA,NA,Potluc,NA,0,19.07.2019,,SD8966766895
205,NA,NA,NA,NA,Potluc,NA,0,19.07.2019,,SD8953866753
206,NA,NA,NA,NA,Potluc,NA,0,19.07.2019,,SD8962966930
207,NA,NA,NA,NA,Potluc,NA,0,19.07.2019,,SD8959666909
208,115,"stony,gravel,silt",0,0,,3,0,20.07.2019,replacement to point 15; dead pisidium shells,SD8905366451
209,NA,NA,NA,NA,Caspera,NA,0,20.07.2019,"very sickly, covered in shit, approx 10x10m",SD888866581
210,50,"silt,peat",0,0,,NA,1,20.07.2019,Dead snails; callitriche cf hamulata spotted off point,SD8892867103
